"Song title","Coefficient","Std. Error","t value","Pr(>|t|)"
"perditus†paradisus[A]","0.995508052645685","0.0556576710439526","17.8862685766987","6.3771259839957e-09"
"Persephone[A]","0.821644236200959","0.0292025752862705","28.1360197909413","7.4728324090041e-11"
"Phoenix[L]","0.871615012972671","0.0306045405188861","28.4799248149077","6.62704166721254e-11"
"Plan 8[A]","0.832606351105722","0.0498241823602971","16.7108884012353","1.23326727025587e-08"
"PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.[A]","1.0440281024853","0.0302832250216376","34.4754596559426","9.98439666771932e-12"
"PLEASE DON'T GO[A]","0.62817283736117","0.0525867431410387","11.9454600121631","3.04924568237264e-07"
"Please Welcome Mr.C[A]","0.688579297761153","0.0432312925210697","15.9277980741742","1.96142264991019e-08"
"POSSESSION[A]","0.720248612195961","0.0644808095895267","11.1699685035119","5.71536260780497e-07"
"Primitive Vibes[A]","0.642963246180083","0.0519262550726522","12.3822379503487","2.17416264762468e-07"
"Proof of the existence[A]","1.02064571510904","0.0325096814703726","31.3951312023525","2.52570854721723e-11"
"PUNISHER[A]","0.826179985139244","0.0332268335364008","24.8648425747263","2.53106062447202e-10"
"Purple Perplex[A]","0.904650157596117","0.0341351631179047","26.5020018938069","1.34949321569693e-10"
"Push on Beats!～音ゲの国のeX-ストリーマー～[A]","0.788379684183596","0.0505890867874502","15.5839872638138","2.42089840452966e-08"
"Quakes[A]","0.719355392612324","0.0531109306271196","13.54439442349","9.28583337266531e-08"
"QUANTUM TELEPORTATION[L]","0.670671536469344","0.0442395922242596","15.1599845918464","3.15727675053897e-08"
"quaver♪[A]","0.953820516136152","0.0290268741917416","32.8599114680947","1.60725933560122e-11"
"quell～the seventh slave～[A]","1.04242533757151","0.0534734523531859","19.494259145387","2.75628480816994e-09"
"rage against usual[A]","0.690774369415939","0.057702212116907","11.9713671984776","2.98777463348696e-07"
"RAGE feat.H14 of LEONAIR[A]","0.689754289699413","0.0757204161456464","9.10922476142613","3.71222979029239e-06"
"RAIN[A]","0.872038405250096","0.0329215546338834","26.4883725859222","1.35636314056448e-10"
"Rampage[A]","1.06775272093863","0.0369888586865822","28.8668739413135","5.79904230254708e-11"
"Raspberry Railgun[A]","0.737931129867805","0.0483815469346956","15.2523260751429","2.9781196813351e-08"
"Rave Cannon[A]","0.684687549508359","0.0555743835449057","12.3202005282724","2.27968398906681e-07"
"Rave Patroller[A]","0.91455608048975","0.0171000720721109","53.4825863091729","1.26482273410752e-13"
"Rave*it!! Rave*it!![A]","0.839607396359498","0.0708188097764758","11.8557117665425","3.27312889240054e-07"
"ra'am[A]","0.660961986559763","0.0663180844775172","9.96654218479183","1.63912451066854e-06"
"RED ZONE[L]","0.700701826644714","0.0572945987291829","12.2298059884624","2.44360321138666e-07"
"Red. by Full Metal Jacket[A]","0.930482280191789","0.044524477555818","20.8982189409251","1.39617080837054e-09"
"Red. by Jack Trance[A]","0.764364760306918","0.0591231132547449","12.928357764475","1.44531384742467e-07"
"Reflux[A]","0.953266793640623","0.0448870116236654","21.2370295806914","1.1926274973621e-09"
"refrain[A]","0.908266986436706","0.0499172060840226","18.1954692117158","5.39789912854399e-09"
"reunion[A]","0.958371871616741","0.0652564974689608","14.6862290927059","4.28312380454208e-08"
